,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD,BNB-USD,BTC-USD,ETH-USD
2022-02-25 15:00:00+00:00,369.4269104003906,39400.26953125,2727.059814453125,369.4269104003906,39400.26953125,2727.059814453125,369.4269104003906,39400.26953125,2727.059814453125,364.5279541015625,38789.8359375,2664.44677734375,368.7468566894531,39174.20703125,2692.81005859375,0,164294656,0
2022-02-25 16:00:00+00:00,369.1355285644531,39349.1796875,2719.923828125,369.1355285644531,39349.1796875,2719.923828125,370.396728515625,39512.12109375,2734.07080078125,367.3854064941406,39246.234375,2708.82666015625,369.5950012207031,39419.015625,2728.1572265625,0,0,0
2022-02-25 17:00:00+00:00,367.5081481933594,38984.45703125,2695.73486328125,367.5081481933594,38984.45703125,2695.73486328125,370.0513000488281,39374.3046875,2724.79345703125,367.3669738769531,38976.7734375,2695.489013671875,369.36041259765625,39360.1875,2720.61767578125,0,0,0
2022-02-25 18:00:00+00:00,364.9313049316406,38659.80859375,2676.7197265625,364.9313049316406,38659.80859375,2676.7197265625,367.9402160644531,39028.1640625,2697.75732421875,364.9313049316406,38659.80859375,2676.281005859375,367.5578308105469,38994.546875,2696.311767578125,0,0,0
2022-02-25 19:00:00+00:00,365.3996276855469,38741.1328125,2684.14453125,365.3996276855469,38741.1328125,2684.14453125,366.87738037109375,38898.328125,2697.017578125,364.1609191894531,38609.6484375,2672.455810546875,365.1421203613281,38674.58984375,2676.92822265625,0,0,0
2022-02-25 20:00:00+00:00,368.3067932128906,39107.34765625,2709.898193359375,368.3067932128906,39107.34765625,2709.898193359375,368.7730407714844,39149.8359375,2713.93994140625,364.59930419921875,38691.78515625,2677.228271484375,365.2971496582031,38734.296875,2683.348876953125,0,0,0
2022-02-25 21:00:00+00:00,369.1148376464844,39005.1015625,2708.698974609375,369.1148376464844,39005.1015625,2708.698974609375,369.44366455078125,39180.45703125,2722.722412109375,368.04534912109375,39005.1015625,2707.91162109375,368.26385498046875,39107.234375,2710.08837890625,0,0,0
2022-02-25 22:00:00+00:00,374.2211608886719,39324.60546875,2772.94970703125,374.2211608886719,39324.60546875,2772.94970703125,374.2211608886719,39373.7421875,2772.94970703125,368.54608154296875,38933.91015625,2700.625,369.2024841308594,39008.96875,2708.891845703125,0,0,191442944
2022-02-25 23:00:00+00:00,374.7827453613281,39205.68359375,2763.8564453125,374.7827453613281,39205.68359375,2763.8564453125,376.8026123046875,39509.6015625,2821.972412109375,373.76495361328125,39200.8046875,2763.40185546875,374.19464111328125,39335.44921875,2774.0185546875,16528256,406833152,1200370688
2022-02-26 00:00:00+00:00,381.6775207519531,39761.125,2826.7919921875,381.6775207519531,39761.125,2826.7919921875,383.11358642578125,40005.34765625,2835.655029296875,374.80206298828125,39174.82421875,2764.989501953125,374.8885803222656,39213.08203125,2764.989501953125,68667264,1187176448,1046812672
2022-02-26 01:00:00+00:00,382.05438232421875,39699.19921875,2817.67626953125,382.05438232421875,39699.19921875,2817.67626953125,385.2103271484375,39802.59765625,2835.0322265625,381.5826721191406,39629.9140625,2813.362060546875,381.7372741699219,39771.59765625,2827.4951171875,11408512,0,0
2022-02-26 02:00:00+00:00,381.07275390625,39580.1484375,2807.81298828125,381.07275390625,39580.1484375,2807.81298828125,382.8880310058594,39716.5546875,2818.93701171875,380.9053039550781,39553.4609375,2807.81298828125,382.1265563964844,39704.7890625,2817.991943359375,0,0,0
2022-02-26 03:00:00+00:00,380.0908508300781,39418.765625,2796.794921875,380.0908508300781,39418.765625,2796.794921875,381.3583068847656,39604.2890625,2808.046630859375,379.5311279296875,39380.08203125,2791.077880859375,381.1294860839844,39582.8203125,2807.9697265625,0,0,0
2022-02-26 04:00:00+00:00,379.7346496582031,39405.4453125,2809.909423828125,379.7346496582031,39405.4453125,2809.909423828125,380.905517578125,39459.34375,2815.458740234375,379.5895690917969,39340.58984375,2796.2568359375,380.0980224609375,39420.37890625,2797.079345703125,0,0,103385088
2022-02-26 05:00:00+00:00,375.994873046875,39055.1953125,2778.105712890625,375.994873046875,39055.1953125,2778.105712890625,379.7729187011719,39404.65234375,2809.598876953125,375.994873046875,39055.1953125,2778.01416015625,379.7729187011719,39404.65234375,2809.598876953125,0,0,0
2022-02-26 06:00:00+00:00,375.58966064453125,39160.59765625,2781.7783203125,375.58966064453125,39160.59765625,2781.7783203125,377.01220703125,39205.09765625,2788.435546875,375.5881652832031,39059.24609375,2778.376708984375,376.1598205566406,39059.24609375,2778.5087890625,0,0,0
